experiment,feature_set,split,feature,feature_type,mean_abs_shap
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.047655666456905596
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.03960408773688203
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.03714640337165394
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.034286946171386674
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-I_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.031991373636704394
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-3_propagg-diff_corragg-avg_bbagg-avg,rac,0.03023600265160427
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.02612667231186529
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.02597759719005757
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.02535016719006275
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-3_propagg-diff_corragg-sum_bbagg-avg,rac,0.023371687253902075
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-1_propagg-product_corragg-avg_bbagg-avg,rac,0.02244899708173117
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.022045026286865135
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.020576651303314205
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.020361173700112735
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.01947408926224154
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.01938600015678521
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.019010385726471776
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.01612937189892361
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-sum_bbagg-avg,rac,0.015669498112482763
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-3_propagg-product_corragg-sum_bbagg-avg,rac,0.014547327337659666
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.014509030198940568
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-diff_corragg-sum_bbagg-sum,rac,0.014452780373188884
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-avg_bbagg-avg,rac,0.013233679078957988
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.012521504069754557
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.012268355312291986
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-1_propagg-diff_corragg-avg_bbagg-sum,rac,0.010589094174711105
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-I_scope-1_propagg-product_corragg-sum_bbagg-avg,rac,0.010466651933193346
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-diff_corragg-sum_bbagg-sum,rac,0.009877255851345695
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-I_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.009417881307038835
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-sum_bbagg-sum,rac,0.009361954929802853
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-product_corragg-avg_bbagg-sum,rac,0.008786260422903194
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-I_scope-2_propagg-product_corragg-sum_bbagg-avg,rac,0.008699585957048707
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-diff_corragg-avg_bbagg-avg,rac,0.007709768338192191
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.006920434203134089
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-mod_pettifor_scope-1_propagg-diff_corragg-avg_bbagg-sum,rac,0.006296830263847212
rac_decorr__metal,rac_decorr,metal,racs_bb-nodes_prop-X_scope-2_propagg-product_corragg-avg_bbagg-sum,rac,0.005960588884290177
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-T_scope-3_propagg-product_corragg-avg_bbagg-avg,rac,0.3575752051087567
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-T_scope-3_propagg-product_corragg-avg_bbagg-sum,rac,0.15760697767439721
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-X_scope-3_propagg-product_corragg-avg_bbagg-avg,rac,0.11923992242655866
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-T_scope-2_propagg-diff_corragg-avg_bbagg-sum,rac,0.0940563985515758
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-T_scope-2_propagg-product_corragg-avg_bbagg-avg,rac,0.09068815367265672
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-X_scope-2_propagg-diff_corragg-sum_bbagg-avg,rac,0.0905884570570522
rac_decorr__topology,rac_decorr,topology,racs_bb-nodes_prop-X_scope-3_propagg-diff_corragg-sum_bbagg-avg,rac,0.07814497926057803
